gene,q,q_TSG_20_20,q_TSG_TUSCON,score_iSTOP,score_TUSCON,score_20_20,TSG_iSTOP,TSG_TUSCON,TSG_20_20,TSG_CGC
TMEM30A,5.641528424744818e-9,0.102752293578,0.229058023599535,8.248603219331061,0.6400544908602975,0.9882084752703645,TRUE,FALSE,TRUE,FALSE
TNFAIP3,3.533605182998903e-29,0.9346509672,1,28.451781976737504,-0,0.029350540270624406,TRUE,FALSE,FALSE,FALSE
TNFRSF14,1.0492454734674417e-15,0.161486486486,0.448752172101171,14.97912289569508,0.34799343628711815,0.791863814448128,TRUE,FALSE,FALSE,FALSE
TNRC6B,1.904295824466808e-4,0.0479452054794,7.89123641196078e-4,3.720265584862256,3.1028549454821768,1.3192548157706518,TRUE,TRUE,TRUE,FALSE
TP53,8.812825349214985e-40,0.0160714285714,1.0393285478548e-108,39.05488483655254,107.98324714352532,1.7939455175676478,TRUE,TRUE,TRUE,TRUE
TP63,0.27238743794121684,0.89774718398,1,0.5648129252416729,-0,0.04684594847854207,FALSE,FALSE,FALSE,TRUE
TPM3,0.3651077787018564,0.93078654214,1,0.4375789142118579,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
TRAF3,0.017622522938960893,0.00454545454546,0.00623384910553003,1.7539319154454243,2.2052437143191694,2.3424226808216853,FALSE,TRUE,TRUE,FALSE
TRIP12,0.28088490070990113,0.0539473684211,6.42396962024486e-6,0.5514716061690927,5.192196521557398,1.2680297355606744,FALSE,TRUE,TRUE,FALSE
TSC1,7.926919273029481e-5,0.107207207207,0.517677529272047,4.100895564596604,0.2859406859452309,0.9697760173949661,TRUE,FALSE,FALSE,TRUE
TSC2,6.06979130547589e-4,0.71323943662,0.14378005676648,3.216826240792672,0.8423013492586042,0.14676465170960507,FALSE,FALSE,FALSE,TRUE
TTN,3.0938446358861e-13,0.928444444444,1,12.509501499127762,-0,0.03224407813126181,TRUE,FALSE,FALSE,FALSE
UBE2D3,0.26682159555176954,0.0486486486486,1,0.5737790231459943,-0,1.3129292189641233,FALSE,FALSE,TRUE,FALSE
UBR5,0.1596185051060174,0.76175059952,0.00174884142961587,0.7969167608577601,2.7572495669449,0.11818719530269564,FALSE,TRUE,FALSE,FALSE
USP28,0.001906325127072122,0.027868852459,4.47353185249905e-5,2.719803027699987,4.349349466040514,1.5548809136327486,FALSE,TRUE,TRUE,FALSE
VHL,1.5940348375619873e-36,0.0160714285714,1.25284027891229e-81,35.79750219134919,80.90210429246035,1.7939455175676478,TRUE,TRUE,TRUE,TRUE
VPS33B,0.36201886677935075,0.0464788732393,1,0.4412687954208415,-0,1.3327444088424643,FALSE,FALSE,TRUE,FALSE
WAC,4.114656832558594e-4,0.00454545454546,0.203613475209724,3.3856663796354005,0.6911934836261888,2.3424226808216853,FALSE,FALSE,TRUE,FALSE
WDR47,0.03204380122123886,0.738471337579,0.00554872251444876,1.4942559710057775,2.2558069932353852,0.13166635637484425,FALSE,TRUE,FALSE,FALSE
WT1,3.0152239031380845e-12,0.182716049383,0.00291838409426469,11.520680432682417,2.5348575503308104,0.7382233034830175,TRUE,TRUE,FALSE,FALSE
XPA,1,0.937424468335,1,-0,-0,0.028063714860841173,FALSE,FALSE,FALSE,TRUE
XPC,0.46501218165313507,0.93078654214,1,0.3325356700015701,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
ZC3H13,4.944221211829352e-8,0.0479452054794,2.84058419553713e-6,7.305902106501844,5.5465923336124705,1.3192548157706518,TRUE,TRUE,TRUE,FALSE
ZFHX3,0.002971591590097776,0.528871391075,0.0192556102352527,2.527010879418542,1.7154427134679744,0.276649925199407,FALSE,FALSE,FALSE,TRUE
ZFP36L1,1,0.109482758621,9.0219965236985e-5,-0,4.044697344578017,0.9606542682697305,FALSE,TRUE,FALSE,FALSE
ZFP36L2,0.06248388474310639,0.841617523168,0.00146474592770183,1.2042319773694274,2.8342377007477078,0.07488523072842808,FALSE,TRUE,FALSE,FALSE
ZNF14,1.1056530946316741e-6,0.937424468335,1,5.956381114188496,-0,0.028063714860841173,TRUE,FALSE,FALSE,FALSE
ZNF292,0.03071343675275834,0.616322701688,0.00554872251444876,1.5126715844280292,2.2558069932353852,0.21019183513116405,FALSE,TRUE,FALSE,FALSE
ZNF318,0.11012200248488516,0.0650602409638,0.0552103107446064,0.9581258998919607,1.2579798084786256,1.1866843325534753,FALSE,FALSE,TRUE,FALSE
ZNF750,4.314520190447616e-8,0.264039408867,0.0119313749704967,7.365067494323564,1.9233095053916132,0.5783312482204348,TRUE,FALSE,FALSE,FALSE
